,site,status
967,AZ,unreturned
968,TX,returned
969,AZ,returned
970,CA,returned
971,OR,returned
972,CA,returned
973,TX,returned
974,CA,returned
975,CA,unreturned
976,TX,unreturned
977,TX,returned
978,CA,returned
979,CA,returned
980,OR,returned
981,CA,returned
982,OR,returned
983,CA,returned
984,CA,returned
985,CA,returned
986,CA,unreturned
987,CA,unreturned
988,TX,unreturned
989,CA,returned
990,CA,unreturned
991,TX,returned
992,CA,unreturned
993,CA,returned
994,CA,returned
995,CA,returned
996,CA,returned
997,CA,returned
998,CA,returned
999,CA,returned
1000,CA,returned
1001,AZ,returned
1002,CA,returned
1003,OR,returned
1004,CA,unreturned
1005,CA,returned
1006,CA,unreturned
1007,CA,unreturned
1008,CA,returned
1009,CA,returned
1010,CA,returned
1011,AZ,returned
1012,TX,returned
1013,CA,returned
1014,TX,returned
1015,CA,returned
1016,TX,returned
1017,CA,returned
1018,OR,returned
1019,CA,returned
1020,CA,unreturned
1021,CA,returned
1022,CA,returned
1023,CA,returned
1024,OR,returned
1025,AZ,returned
1026,AZ,returned
1027,CA,returned
1028,CA,returned
1029,AZ,returned
1030,CA,returned
1031,CA,unreturned
1032,CA,returned
1033,TX,returned
1034,CA,unreturned
1035,AZ,unreturned
1036,AZ,unreturned
1037,CA,returned
1038,CA,returned
1039,OR,returned
1040,TX,returned
1041,CA,returned
1042,AZ,returned
1043,CA,returned
1044,CA,unreturned
1045,CA,returned
1046,CA,returned
1047,AZ,unreturned
1048,CA,returned
1049,CA,returned
1050,CA,returned
1051,TX,unreturned
1052,CA,returned
1053,CA,returned
1054,CA,returned
1055,CA,returned
1056,TX,unreturned
1057,CA,returned
1058,OR,returned
1059,OR,returned
1060,OR,returned
1061,AZ,unreturned
1062,CA,unreturned
1063,CA,unreturned
1064,AZ,returned
1065,CA,returned
1066,CA,returned
1067,CA,unreturned
1068,CA,returned
1069,CA,unreturned
1070,AZ,returned
1071,TX,returned
1072,CA,returned
1073,TX,returned
1074,CA,returned
1075,CA,returned
1076,OR,returned
1077,CA,returned
1078,CA,unreturned
1079,CA,returned
1080,TX,returned
1081,TX,unreturned
1082,TX,unreturned
1083,CA,unreturned
1084,AZ,returned
1085,CA,unreturned
1086,CA,unreturned
1087,OR,returned
1088,CA,returned
1089,AZ,unreturned
1090,CA,unreturned
1091,OR,unreturned
1092,CA,returned
1093,OR,returned
1094,CA,unreturned
1095,CA,unreturned
1096,CA,unreturned
1097,CA,unreturned
1098,OR,returned
1099,CA,returned
1100,AZ,returned
1101,CA,returned
1102,CA,unreturned
1103,CA,returned
1104,OR,returned
1105,AZ,unreturned
1106,OR,returned
1107,TX,returned
1108,AZ,returned
1109,CA,returned
1110,AZ,returned
1111,CA,returned
1112,CA,returned
1113,CA,returned
1114,CA,returned
1115,TX,unreturned
1116,TX,unreturned
1117,CA,returned
1118,TX,returned
1119,OR,returned
1120,CA,returned
1121,TX,returned
1122,CA,unreturned
1123,CA,returned
1124,CA,unreturned
1125,AZ,returned
1126,CA,returned
1127,CA,unreturned
1128,CA,returned
1129,TX,returned
1130,AZ,returned
1131,CA,returned
1132,CA,returned
1133,CA,returned
1134,TX,unreturned
1135,AZ,returned
1136,AZ,returned
1137,CA,returned
1138,CA,returned
1139,AZ,unreturned
1140,AZ,returned
1141,CA,returned
1142,CA,unreturned
1143,CA,returned
1144,CA,unreturned
1145,CA,unreturned
1146,CA,returned
1147,CA,returned
1148,CA,returned
1149,AZ,unreturned
1150,CA,unreturned
1151,TX,returned
1152,CA,unreturned
1153,OR,returned
1154,CA,returned
1155,CA,returned
1156,CA,returned
1157,OR,returned
1158,CA,unreturned
1159,CA,returned
1160,CA,returned
1161,TX,returned
1162,TX,returned
1163,CA,unreturned
1164,AZ,unreturned
1165,CA,unreturned
1166,CA,unreturned
1167,CA,returned
1168,CA,unreturned
1169,CA,unreturned
1170,OR,returned
1171,CA,unreturned
1172,CA,returned
1173,CA,returned
1174,AZ,unreturned
1175,CA,returned
1176,TX,unreturned
1177,TX,unreturned
1178,CA,returned
1179,CA,returned
1180,TX,unreturned
1181,CA,returned
1182,CA,unreturned
1183,CA,unreturned
1184,AZ,returned
1185,CA,returned
1186,CA,unreturned
1187,CA,unreturned
1188,OR,returned
1189,CA,returned
1190,TX,returned
1191,CA,returned
1192,CA,unreturned
1193,CA,unreturned
1194,CA,unreturned
1195,CA,unreturned
1196,AZ,unreturned
1197,AZ,returned
1198,CA,returned
1199,CA,returned
1200,TX,unreturned
1201,CA,returned
1202,CA,unreturned
1203,OR,returned
1204,CA,returned
1205,AZ,returned
1206,CA,unreturned
1207,CA,returned
1208,CA,unreturned
1209,AZ,unreturned
1210,CA,unreturned
1211,OR,returned
1212,CA,unreturned
1213,AZ,returned
1214,OR,returned
1215,CA,unreturned
1216,AZ,returned
1217,CA,unreturned
1218,CA,unreturned
1219,CA,unreturned
1220,TX,returned
1221,CA,returned
1222,CA,returned
1223,CA,returned
1224,CA,returned
1225,OR,unreturned
1226,CA,returned
1227,CA,returned
1228,AZ,returned
1229,CA,returned
1230,CA,returned
1231,TX,unreturned
1232,CA,returned
1233,CA,returned
1234,CA,returned
1235,TX,returned
1236,AZ,returned
1237,OR,returned
1238,AZ,returned
1239,CA,returned
1240,TX,unreturned
1241,CA,returned
1242,CA,returned
1243,CA,returned
1244,CA,returned
1245,CA,unreturned
1246,CA,unreturned
1247,AZ,returned
1248,CA,returned
1249,CA,returned
1250,CA,returned
1251,AZ,returned
1252,CA,unreturned
1253,TX,returned
1254,CA,returned
1255,CA,unreturned
1256,CA,returned
1257,TX,returned
1258,CA,unreturned
1259,CA,unreturned
1260,CA,returned
1261,AZ,returned
1262,CA,returned
1263,CA,returned
1264,CA,returned
1265,TX,returned
1266,CA,unreturned
1267,CA,returned
1268,AZ,returned
1269,CA,returned
1270,CA,returned
1271,CA,returned
1272,TX,unreturned
1273,OR,returned
1274,CA,unreturned
1275,CA,returned
1276,CA,returned
1277,CA,unreturned
1278,TX,returned
1279,CA,returned
1280,TX,unreturned
1281,CA,returned
1282,CA,unreturned
1283,TX,unreturned
1284,CA,returned
1285,OR,returned
1286,CA,returned
1287,CA,returned
1288,CA,returned
1289,CA,returned
1290,CA,unreturned
1291,CA,returned
1292,AZ,unreturned
1293,CA,unreturned
1294,CA,returned
1295,CA,returned
1296,TX,unreturned
1297,CA,returned
1298,TX,returned
1299,CA,returned
1300,CA,returned
1301,CA,unreturned
1302,TX,returned
1303,CA,returned
1304,TX,returned
1305,CA,unreturned
1306,CA,unreturned
1307,CA,returned
1308,CA,returned
1309,CA,unreturned
1310,CA,returned
1311,TX,unreturned
1312,CA,unreturned
1313,CA,returned
1314,CA,unreturned
1315,TX,unreturned
1316,CA,returned
1317,CA,returned
1318,CA,returned
1319,CA,returned
1320,CA,returned
1321,AZ,returned
1322,CA,returned
1323,AZ,returned
1324,AZ,unreturned
1325,OR,returned
1326,CA,returned
1327,CA,returned
1328,CA,returned
1329,TX,unreturned
1330,TX,returned
1331,CA,unreturned
1332,CA,unreturned
1333,CA,returned
1334,CA,returned
1335,CA,returned
1336,CA,returned
1337,AZ,unreturned
1338,CA,returned
1339,AZ,returned
1340,CA,returned
1341,CA,unreturned
1342,CA,returned
1343,CA,returned
1344,CA,returned
1345,OR,returned
1346,AZ,returned
1347,CA,unreturned
1348,CA,returned
1349,AZ,returned
1350,CA,unreturned
1351,CA,returned
1352,CA,unreturned
1353,CA,returned
1354,CA,unreturned
1355,AZ,returned
1356,AZ,unreturned
1357,CA,unreturned
1358,CA,returned
1359,CA,returned
1360,TX,returned
1361,CA,returned
1362,CA,returned
1363,CA,returned
1364,AZ,unreturned
1365,CA,returned
1366,CA,returned
1367,CA,unreturned
1368,CA,returned
1369,CA,unreturned
1370,CA,returned
1371,CA,unreturned
1372,CA,returned
1373,AZ,returned
1374,OR,returned
1375,CA,unreturned
1376,CA,returned
1377,OR,returned
1378,AZ,returned
1379,TX,returned
1380,CA,returned
1381,CA,unreturned
1382,CA,returned
1383,OR,returned
1384,CA,unreturned
1385,CA,returned
1386,OR,returned
1387,CA,returned
1388,TX,unreturned
1389,TX,returned
1390,CA,returned
1391,TX,unreturned
1392,AZ,returned
1393,OR,returned
1394,CA,returned
1395,CA,unreturned
1396,CA,returned
1397,CA,returned
1398,TX,returned
1399,OR,returned
1400,CA,returned
1401,CA,unreturned
1402,CA,unreturned
1403,CA,returned
1404,CA,returned
1405,CA,returned
1406,TX,unreturned
1407,CA,returned
